5,0.462222,"They successfully uncovered at least six plots, but many senior French officials appear to have been deeply worried by the accelerating tempo of operations in their country and the growing involvement of French citizens in violent activities at home and abroad.","""But until we know more about the organisation of the attack and its authors it's impossible to blame this or that service.""","According to Yves Trotignon, a former counter-terrorism official in the French external service, DGSE, the security services had long feared such an event.",A further reason for the lack of violence in France was the success of its political class in distancing the country from the US-led war on terror and its almost universal opposition to the war in Iraq.,"""It is extremely difficult to defend against such an attack once it has begun to be executed,"" Trotignon said."
8,0.222431,It was shocking.,It sounded like automatics and pistols.,"It was very quiet, and then somebody started to scream.",It was silent.,The view down rue Jean Mace.
2,0.37062,"""They hate freedom; they want to destroy it wherever it exists, the women like my sister in countries where freedom reigns.","Jean-Pierre Filiu, an Islam scholar and Sciences Po university professor, commented to France-Inter that what Isis wanted ""is that today in Paris and in France, Muslims are killed in reprisal.","Many French Muslims, estimated to be at least 5 million strong, are fearful as anti-refugee sentiment has been fanned by the far-right Front National since Friday's attacks.","A colleague said she was ""very jolly and friendly"" and an essential member of the closely knit team.","""We're ordinary citizens who love our family."
3,0.554635,"Thursday 19 November 2015 18.51 GMT Last modified on Friday 14 July 2017 21.26 BST

Do the arithmetic and it is hard not to feel sympathy for the French intelligence agencies.",A more serious omission is the French failure to respond to the Turkish government when it flagged up concern about Mostefai.,"Such failures are where the French and US intelligence agencies should be looking, rather than exploiting the tragedy to make the case for bulk data surveillance.",Such warnings are regularly received by the agencies struggling to work out which ones reflect a genuine threat.,"But when they get it wrong, as they have twice this year, first in the Charlie Hebdo attack and in last Friday's massacre, they have come under huge pressure."
9,0.431024,"Viktor Orban, the Hungarian prime minister strongly opposed to immigration, will feel vindicated in his view that western Europe is reaping what it has sown through a disastrous policy of liberal multiculturalism that will not be repeated in central and eastern Europe.","Greece has been under strong criticism for months, mainly from Germany, for failing to identify and register the hundreds of thousands passing through the country from Turkey en route to northern Europe.","But there are reasons to suspect that this is about terrorist intentions, or someone supplying weapons to terrorists,"" said Joachim Herrmann, the Bavarian interior minister.","""Poland must retain full control over its borders, asylum and immigration,"" said the new minister for European affairs, Konrad Szymanski.","""As well as more security measures, we need tighter control of the European borders, but also of the national borders."""
4,0.586708,"Alai was critical of the selective public mourning shown by celebrities and world leaders, an injustice he says was felt ""not only felt by Kenyans, but across Syria, Iraq, Lebanon and Nigeria"" where citizens deal with death and terror on a daily basis.","""More than anything else it is a definite message to the people under attack that the world sees their pain.""","Their criticisms prompted the CEO to acknowledge that there were ""many other important conflicts in the world"", and Zuckerberg promised to roll out the safety feature more widely in future.","""It was simply overwhelming but it seems to have been soon forgotten and replaced with this sense of injustice.""","[The reaction] was overwhelming, but it seems to have been forgotten and replaced with this sense of injustice
Morris Kiruga
 A woman is rescued after being held hostage by armed men in Garissa University in April."
6,0.56113,"Should a would-be terrorist want to reach Europe via the Greek islands, it would be relatively simple to do.","If such a process can be completed for a large enough group of people, and in a swift enough fashion, it would help deter a majority of refugees from traipsing through Europe in the current chaotic way.",This development has increased fears of Isis infiltrators among the thousands of desperate refugees arriving in Europe.,One theory is that Isis hopes to turn Europe against Syrian refugees.,"It undermines [Isis's] message that its self-styled caliphate is a refuge."""
7,0.745269,"Praising German chancellor Angela Merkel for showing compassion and leadership on the issue of refugees, Obama urged the world to remember the biggest victims of violence in Syria by President Bashar al-Assad were Muslims.","Saying ""I will do what is required to keep America safe"", he said defeating Isis would always take time and there will be setbacks, adding Paris was ""a terrible setback"".","""When I hear folks say that ‘maybe, well, we should just admit the Christians and not the Muslims', I hear political leaders suggesting there would be a religious test for which a person fleeing from a war-torn country is admitted, when some of those folks themselves come from families who benefited from protection when they were fleeing political persecution – that's shameful.""","""If folks want to pop off and have opinions about what they want to do, present a specific plan,"" said an unusually angry Obama.","They are orphans and it is very important ... that we do not close our hearts to these victims of such violence and somehow start equating the issue of refugees with the issue of terrorism."""
1,0.458499,"David Cameron said the UK ""must be prepared for a number of British casualties"" from the Paris atrocity and condemned the ""brutal and callous murderers"".","As Parisians queued in their hundreds to give blood at a hospital close to a concert hall where the majority of the victims died, a Muslim community leader, Nadir Kahia, said he feared a ""tsunami of hatred"" against Muslims and residents of the capital's poorer districts.","""France and those who follow her voice must know that they remain the main target of Islamic State and that they will continue to smell the odour of death for having led the crusade, for having dared to insult our prophet, for having boasted of fighting Islam in France and striking Muslims in the caliphate with their planes,"" the group said in a statement.","The president added: ""We will be merciless toward the barbarians of Islamic State group.",Pope Francis also condemned the killings as inhuman acts that left him shaken and pained.
29-03-2015-Michael Clarke dedicates Australia’s World Cup win to Phillip Hughes.txt,0.739602,"""It's taken us so far in this tournament but we weren't obviously able to get over the final hurdle, but it's something that I'm immensely proud of, all the guys in the team, all the management group and all those that have been part of this team over the last few years and helped build us into what we are.",They were outstanding in this World Cup and thoroughly deserved to win.,"""Obviously we're not able to lift the trophy but the brand of cricket and the entertainment that we've been able to give people throughout our country and throughout the world is something we're immensely proud of.","We have the utmost respect for that team and I guess my relationship with Brendon is very close and I wish them all the best for their future.""","""It's the greatest time of your life to be able to represent your country on the international stage with a group of friends and then put your skills against the world's best - it is the greatest time of our lives and that's how we tried to play the game, play with a free spirit and plenty of heart all the way along."
25-03-2016-Cricket World Cup: India's semi-final against Australia not mission impossible.txt,0.580346,"They respect good, entertaining cricket and I really hope we can provide that tomorrow.""","""We just wanted to create history here.","""I think they want to see great cricket and they want to see their team win.","At a ground where they have had next to no joy, India will hope that their confidence isn't as misplaced as his.","He may not go to the same aggressive lengths as Brendon McCullum or try the sort of unorthodox fields that Michael Clarke has a penchant for but a combination of gut feel and street smarts has given Dhoni an unprecedented treble of World Twenty20 (2007), World Cup (2011) and Champions Trophy (2013)."
30-03-2015-Clarke's team carry on Cricket World Cup celebrations: 'It's the Australian way'.txt,0.523598,"""Now it's time to focus on Test cricket, and there's still plenty that I want to achieve.","I think we've got every right to celebrate, to finally get the prize after a lot of hard work.""","Following repeated questions from journalists about how good winning feels, the players – mostly sporting dark glasses – wandered into the crowd, signing autographs and posing for photos.","Hopefully this momentum can help us in the upcoming tours, whoever we're playing.""","Following Sunday night's win over New Zealand at the Melbourne Cricket Ground the former Test player and now commentator Shane Warne faced some criticism for encouraging the players to toast their success and for asking them if they were ""thirsty""."
30-03-2015-ICC president Mustafa Kamal threatens to reveal ‘mischievous things’.txt,0.688121,"The International Cricket Council president, Mustafa Kamal, has threatened to reveal details of ""mischievous things"" he claims are taking place at the world governing body.","The ICC chief executive, Dave Richardson, described Kamal's remarks as ""unfortunate"" in an official statement.","""After I go back home, I will let the whole world know what's happening in ICC.","But very unfortunately, I wasn't allowed to do so.","""It is my constitutional right."
